airport,airport_full_name,total_flights,delayed_flights,cancelled_flights,total_delay_min,carrier_delay_min,weather_delay_min,nas_delay_min,security_delay_min,late_aircraft_delay_min,delay_rate,cancellation_rate,avg_delay_severity,carrier_share,weather_share,nas_share,late_aircraft_share,cluster
ROW,"Roswell, NM: Roswell International Air Center",2757.0,375.0,102.0,33044.0,11652.0,2763.0,747.0,21.0,17861.0,0.13601741022850924,0.036996735582154515,88.11733333333333,0.3526207480934512,0.08361578501392083,0.02260622200702094,0.5405217286042852,1
RST,"Rochester, MN: Rochester International",13236.0,2334.0,357.0,197218.0,88493.0,37277.0,20440.0,407.0,50601.0,0.17633726201269265,0.026971894832275613,84.49785775492717,0.4487065075195976,0.18901418734598263,0.10364165542698943,0.2565739435548479,0
RSW,"Fort Myers, FL: Southwest Florida International",210357.0,42536.0,6005.0,2755891.0,971029.0,102473.0,690949.0,4429.0,987011.0,0.20220862628769187,0.028546708690464304,64.78961350385556,0.35234666392829034,0.037183255796401235,0.25071710020461624,0.358145877322434,1
SAF,"Santa Fe, NM: Santa Fe Municipal",13822.0,2685.0,349.0,216007.0,95661.0,27096.0,18786.0,325.0,74139.0,0.19425553465489798,0.025249602083634786,80.44953445065177,0.44286064803455444,0.12544037924696885,0.08696940376932229,0.34322498807909,1
SAF,"Santa Fe, NM: Santa Fe Regional",2310.0,517.0,35.0,34071.0,16520.0,4553.0,5429.0,0.0,7569.0,0.22380952380952382,0.015151515151515152,65.90135396518376,0.48486983064776495,0.1336327081682369,0.15934372340113293,0.2221537377828652,1
SAN,"San Diego, CA: San Diego International",493621.0,99545.0,9424.0,5511159.0,1874460.0,226879.0,1102725.0,11912.0,2294985.0,0.2016628141833512,0.019091570253291494,55.36349389723241,0.3401330548338121,0.041168681832442655,0.20009668005271675,0.41644007279311174,1
SAT,"San Antonio, TX: San Antonio International",212097.0,43923.0,4458.0,2670572.0,1009284.0,113736.0,337827.0,4724.0,1205001.0,0.207089209182591,0.021018684847027538,60.801220317373584,0.3779280244082541,0.04258862895289848,0.12649986594632162,0.45121457126038916,1
SAV,"Savannah, GA: Savannah/Hilton Head International",111679.0,22391.0,2783.0,1528659.0,541694.0,90252.0,257166.0,2834.0,636713.0,0.200494273766778,0.02491963574172405,68.2711357241749,0.3543589512114867,0.05903998210195995,0.16822980141418067,0.4165173527909102,1
SBA,"Santa Barbara, CA: Santa Barbara Municipal",42877.0,7478.0,794.0,493438.0,198613.0,38673.0,49156.0,501.0,206495.0,0.17440585861883995,0.01851808661986613,65.98529018454133,0.4025085218406365,0.07837458809414759,0.09961940507216713,0.41848215986608245,1
SBN,"South Bend, IN: South Bend International",37693.0,7374.0,770.0,583513.0,296911.0,82485.0,62932.0,457.0,140728.0,0.19563314143209615,0.02042819621680418,79.131136425278,0.508833564976273,0.14135931847276753,0.10785021070653096,0.24117371849470362,0
SBP,"San Luis Obispo, CA: San Luis County Regional",25749.0,4376.0,360.0,315234.0,133536.0,28184.0,32487.0,690.0,120337.0,0.1699483475086411,0.013981125480601188,72.03702010968921,0.4236091284569558,0.08940659954192759,0.10305677687051523,0.3817386449431216,1
SBP,"San Luis Obispo, CA: San Luis Obispo County Regional",3347.0,709.0,46.0,58095.0,19423.0,7864.0,11519.0,0.0,19289.0,0.2118314908873618,0.013743651030773827,81.93935119887165,0.3343316980807298,0.13536448919872623,0.19827868147000602,0.3320251312505379,1
SBY,"Salisbury, MD: Salisbury-Ocean City/Wicomico Regional",9299.0,1370.0,62.0,104797.0,25799.0,19465.0,11594.0,47.0,47892.0,0.14732766964189697,0.006667383589633294,76.4941605839416,0.24618071127990304,0.18574004981058617,0.11063293796578147,0.4569978148229434,1
SCC,"Deadhorse, AK: Deadhorse Airport",3003.0,385.0,67.0,24309.0,7082.0,8236.0,3613.0,0.0,5378.0,0.1282051282051282,0.022311022311022312,63.140259740259744,0.2913324283187297,0.3388045579826402,0.14862808013492945,0.2212349335637007,0
SCE,"State College, PA: State College Regional",2219.0,511.0,57.0,49683.0,11111.0,5119.0,6191.0,0.0,27262.0,0.2302839116719243,0.02568724650743578,97.22700587084148,0.22363786405812852,0.10303323068252722,0.12461002757482438,0.5487188776845199,1
SCE,"State College, PA: University Park",16340.0,2756.0,560.0,215469.0,72278.0,26500.0,29556.0,36.0,87099.0,0.16866585067319462,0.03427172582619339,78.18178519593614,0.3354450060101453,0.12298752952860968,0.13717054425462596,0.40422984280801416,1
SCK,"Stockton, CA: Stockton Metro",1808.0,476.0,13.0,32126.0,8883.0,2640.0,5461.0,193.0,14949.0,0.26327433628318586,0.007190265486725664,67.49159663865547,0.27650501151715123,0.08217643030567141,0.1699869264769968,0.4653240366058644,1
SCK,"Stockton, CA: Stockton Metropolitan",1794.0,368.0,145.0,24288.0,10241.0,2516.0,3384.0,159.0,7988.0,0.20512820512820512,0.08082497212931995,66.0,0.4216485507246377,0.10359025032938077,0.13932806324110672,0.3288866930171278,1
SDF,"Louisville, KY: Louisville Muhammad Ali International",139021.0,26400.0,3298.0,1817391.0,695527.0,118713.0,264670.0,3785.0,734696.0,0.18989936772142338,0.023723034649441452,68.84056818181818,0.38270630810871187,0.06532056117808441,0.14563184256992578,0.40425863229211545,1
SEA,"Seattle, WA: Seattle/Tacoma International",1026130.0,169313.0,16843.0,9739803.0,3673014.0,603797.0,1923691.0,28628.0,3510164.0,0.1650015105298549,0.016414099578026177,57.525429234612815,0.3771334965347591,0.06199597219264558,0.1975185264968898,0.36041257199957205,1
SFB,"Sanford, FL: Orlando Sanford International",56966.0,16403.0,2393.0,1396558.0,435153.0,103223.0,241701.0,4300.0,612181.0,0.287943685707264,0.042007513253519646,85.14040114613181,0.31158963680706425,0.07391243328239858,0.17306907410934597,0.4383498572919993,1
SFO,"San Francisco, CA: San Francisco International",744383.0,152989.0,13178.0,10223935.0,3543894.0,457986.0,2944977.0,12976.0,3264102.0,0.20552457538659535,0.017703252223653685,66.827909196086,0.34662720371363864,0.04479547258467508,0.2880473125073663,0.3192608325463728,1
SGF,"Springfield, MO: Springfield-Branson National",56011.0,10852.0,1212.0,738514.0,264830.0,73680.0,119751.0,1296.0,278957.0,0.19374765671028904,0.021638606702254915,68.05326207150756,0.358598482899444,0.09976791232122885,0.162151293001893,0.3777274364467024,1
SGU,"St. George, UT: St George Regional",19513.0,2606.0,123.0,173378.0,102158.0,22844.0,11793.0,134.0,36449.0,0.13355199098037207,0.0063034899810382825,66.53031465848044,0.589221239142221,0.13175835457785878,0.06801901048575944,0.21022851803573694,0
SHD,"Staunton, VA: Shenandoah Valley Regional",2008.0,328.0,48.0,36038.0,23475.0,3279.0,543.0,242.0,8499.0,0.16334661354581673,0.02390438247011952,109.8719512195122,0.6513957489316832,0.09098729119263001,0.01506742882512903,0.23583439702536213,0
SHR,"Sheridan, WY: Sheridan County",3920.0,593.0,82.0,51588.0,25670.0,6631.0,3844.0,49.0,15394.0,0.15127551020408164,0.020918367346938777,86.99494097807757,0.497596340234163,0.1285376444134295,0.0745134527409475,0.2984027293168954,0
SHV,"Shreveport, LA: Shreveport Regional",33895.0,6056.0,814.0,469310.0,195054.0,67260.0,59427.0,947.0,146622.0,0.17866942026847618,0.02401534149579584,77.4950462351387,0.41561867422386056,0.14331678421512434,0.12662632375189106,0.31242036180776034,1
SIT,"Sitka, AK: Sitka Rocky Gutierrez",7450.0,1545.0,144.0,76264.0,20536.0,5112.0,11070.0,226.0,39320.0,0.20738255033557046,0.019328859060402683,49.36181229773463,0.2692751494807511,0.06703031574530578,0.1451536767019826,0.5155774677436274,1
SJC,"San Jose, CA: Norman Y. Mineta San Jose International",280407.0,45651.0,5601.0,2376960.0,837521.0,75267.0,229569.0,6384.0,1228219.0,0.16280264044763504,0.01997453701227145,52.06808175067359,0.3523496398761443,0.031665236268174475,0.09658092689822294,0.516718413435649,1
SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",8110.0,1186.0,292.0,78811.0,30119.0,14013.0,9522.0,76.0,25081.0,0.1462392108508015,0.036004932182490755,66.45109612141653,0.38216746393269974,0.1778051287256855,0.12082069761835276,0.3182423773331134,1
SJU,"San Juan, PR: Luis Munoz Marin International",183295.0,46852.0,2809.0,3221690.0,1381043.0,140501.0,598898.0,13168.0,1088080.0,0.2556098093237677,0.01532502250470553,68.76312644070691,0.4286703562415999,0.04361096194854253,0.18589560137691707,0.33773578463477244,1
SLC,"Salt Lake City, UT: Salt Lake City International",661231.0,91724.0,7605.0,6529967.0,3198077.0,614087.0,660921.0,9444.0,2047438.0,0.13871702929838436,0.011501275651020597,71.19147660372421,0.4897539298437496,0.09404136345558867,0.10121352833789206,0.3135449229682171,1
